Date,Open,High,Low,Close,Volume
2013-06-05,95,95.26,92.21,93.25,2311.67
2013-06-06,93.25,95.3,91.8,92.74,3140.07
2013-06-07,92.74,92.88,82,87,9498.13
2013-06-08,87,86.16,82.31,82.31,2722.56
2013-06-09,82.31,84.14,66.37,76.49,22079.36
2013-06-10,76.49,83.98,71.81,80.74,5284.77
2013-06-11,80.74,84,79.33,83.44,2418.87
2013-06-12,83.44,84.78,81.01,82.73,1921.92
2013-06-13,82.73,84.53,75,77.53,6243.67
2013-06-14,77.53,79.67,74,75.9,2757.77
2013-06-15,75.9,77.11,73.11,75.2,4085.8
2013-06-16,75.2,76.8,74.25,74.65,1245.76
2013-06-17,74.65,77.5,74.62,76.79,2529.74
2013-06-18,76.79,83.89,75.52,80.07,4792.71
2013-06-19,80.07,82.99,79.24,80.12,1865.38
2013-06-20,80.12,84.45,80.12,82,3233.65
2013-06-21,82,85.4,80.78,82.7,4608.82
2013-06-22,82.7,82.65,80.5,81,903.98
2013-06-23,81,81.78,79.11,80.9,1070.08
2013-06-24,80.9,81.99,75.5,77.09,4246.04
2013-06-25,77.09,82,78.16,79.44,3787.43
2013-06-26,79.44,80.48,78.55,78.91,1445.29
2013-06-27,78.91,79.5,77.45,77.5,2020.66
2013-06-28,77.5,78.47,70,72.5,8859.1
2013-06-29,72.5,76.22,71,71.5,2303.38
2013-06-30,71.5,74.2,71,73.9,1187.98
2013-07-01,73.9,74.25,66,66.32,4732.98
2013-07-02,66.32,70.45,66,69,2489.16
2013-07-03,69,69.5,58.18,60,10790.57
2013-07-04,60,64.6,55,61.43,9308.18
2013-07-05,61.43,62.74,50,53.54,12872.41
2013-07-06,53.54,58,51.6,53.6,2484.39
2013-07-07,53.6,59,52.5,59,5436.73
2013-07-08,59,63.65,57.3,59.6,7252.76
2013-07-09,59.6,61.42,56.42,60.85,4813.36
2013-07-10,60.85,69.5,59.5,68.5,7689.77
2013-07-11,68.5,69.98,66.66,68.76,3401.52
2013-07-12,68.76,80,68.55,72.6,10548.16
2013-07-13,72.6,77,69,74,2458.15
2013-07-14,74,75.77,71.86,73.44,1058.56
2013-07-15,73.44,76.5,71.7,74.59,2405.75
2013-07-16,74.59,76.46,73,73.81,2175.76
2013-07-17,73.81,76,73.6,75.3,1647.41
2013-07-18,75.3,75.48,66.3,70.65,6176.85
2013-07-19,70.65,72.98,67.32,70.15,2963.75
2013-07-20,70.15,71.7,69.5,69.8,1523.43
2013-07-21,69.8,70.5,67.8,69.27,765.15
2013-07-22,69.27,70.5,68.57,70,1149.02
2013-07-23,70,74.7,69.52,73,4574.89
2013-07-24,73,74.5,70.95,71.99,2015.23
2013-07-25,71.99,73.1,70.3,72.98,1557.79
2013-07-26,72.98,73,71.65,72.36,1153.44
2013-07-27,72.36,72.36,70.5,70.5,1126.95
2013-07-28,70.5,74.2,70.03,74,6195.15
2013-07-29,74,75.98,72.84,75.37,4386.59
2013-07-30,75.37,79.48,74.19,79.48,4346.51
2013-07-31,79.48,82.43,77.5,77.8,5947.14
2013-08-01,77.8,80.33,75.74,78,2091.51
2013-08-02,78,82.09,75.2,78.5,4314.1
2013-08-03,78.5,79.33,77,77.58,659.35
2013-08-04,77.58,79.69,77.46,78.1,564.4
2013-08-05,78.1,81.67,77.7,80.95,2032.92
2013-08-06,80.95,81.22,79,79.2,1440.9
2013-08-07,79.2,80.86,78.06,79,1327.8
2013-08-08,79,79.5,75.5,77.8,2452.76
2013-08-09,77.8,78.13,76,76.89,1638.67
2013-08-10,76.89,77.4,75.87,76.9,937.47
2013-08-11,76.9,78.12,75.8,77.7,1203.88
2013-08-12,77.7,79.75,76.48,79.11,1962.93
2013-08-13,79.11,80.6,78.26,80.6,2668.21
2013-08-14,80.6,84.98,79.65,82.77,6745.94
2013-08-15,82.77,84,82.24,82.24,1698.16
2013-08-16,82.24,83.99,80.51,81.77,1930.77
2013-08-17,81.77,84,80.5,82.75,1371.51
2013-08-18,82.75,85,83,83.41,1538.83
2013-08-19,83.41,91.5,83.41,88,8106.68
2013-08-20,88,90,87,89.9,2222.1
2013-08-21,89.9,91.75,88,89.83,4082.59
2013-08-22,89.83,91.43,89,89.99,2277.78
2013-08-23,89.99,90,86.78,87.5,2828.16
2013-08-24,87.5,89.9,86.22,88.3,1634.13
2013-08-25,88.3,90.21,88,89.95,914.56
2013-08-26,89.95,89.95,87.68,88.7,2168.37
2013-08-27,88.7,97.2,88.8,96.25,8161.35
2013-08-28,96.25,96.8,94.85,95.2,2381.12
2013-08-29,95.2,96.7,93.97,95.27,2046.46
2013-08-30,95.27,104.99,94.55,101.36,8904.46
2013-08-31,101.36,109.75,101.37,105.32,6079.77
2013-09-01,105.32,109.7,104.88,108.36,3523.93
2013-09-02,108.36,109.7,106.15,106.15,2948.68
2013-09-03,106.15,110,106.15,107.25,3042.85
2013-09-04,107.25,108.9,96.5,100.1,4590.19
2013-09-05,100.1,103,96.94,99.3,3219.16
2013-09-06,99.3,101.7,93.11,93.7,2764.53
2013-09-07,93.7,98.6,93,97.81,1669.2
2013-09-08,97.81,98,94.5,96,1008.35
2013-09-09,96,102.26,94.05,99.2,4176.31
2013-09-10,99.2,101.59,97.79,99.03,1707.47
2013-09-11,99.03,107.57,97.99,105.17,5099.18
2013-09-12,105.17,107,102.5,104,1505.24
2013-09-13,104,107.19,103.11,104.8,2027.46
2013-09-14,104.8,104.98,100.52,101.98,991.14
2013-09-15,101.98,104.38,100.91,102.96,509.95
2013-09-16,102.96,105.01,101.4,104.77,2795.91
2013-09-17,104.77,104.96,101.98,103.33,1369.39
2013-09-18,103.33,104.72,102.43,103.43,828.77
2013-09-19,103.43,104.99,97.55,100.01,3485.08
2013-09-20,100.01,102.25,98,98.5,1585.3
2013-09-21,98.5,100.48,98.09,98.98,459.06
2013-09-22,98.98,99.84,96.5,99.19,1043.02
2013-09-23,99.19,100,97.2,98.65,1465.65
2013-09-24,98.65,99.97,97,97.3,1898.84
2013-09-25,97.3,101.25,98,100.73,1863.17
2013-09-26,100.73,101.25,97.85,98.8,1561.05
2013-09-27,98.8,103.12,99.21,101,2056.33
2013-09-28,101,103.53,100.13,103.53,1576.56
2013-09-29,103.53,105.65,102.03,104.49,3114.34
2013-09-30,104.49,105.59,101.99,102.79,1625.38
2013-10-01,102.79,104.5,101.13,102.4,2136.7
2013-10-02,102.4,103.19,79.02,89.93,13473.55
2013-10-03,89.93,97,88.89,94.1,4731.35
2013-10-04,94.1,100.51,94.5,99.49,3949.78
2013-10-05,99.49,100.38,98.98,99.58,390.74
2013-10-06,99.58,99.96,98.21,98.55,712.13
2013-10-07,98.55,100.59,98.18,99.45,1561.19
2013-10-08,99.45,102.52,97.96,99.64,1958.98
2013-10-09,99.64,102.47,98.53,101.51,2104.92
2013-10-10,101.51,102.34,100.61,102.21,1597.41
2013-10-11,102.21,102.28,100.71,102.01,1207.59
2013-10-12,102.01,102.89,101.1,102.1,1028.95
2013-10-13,102.1,106.23,102.1,105.63,3608.72
2013-10-14,105.63,111.43,105.95,108.44,7369.02
2013-10-15,108.44,113.92,108.42,113.89,3313
2013-10-16,113.89,118.92,107.04,111.97,7750.97
2013-10-17,111.97,116.68,109.58,113.43,2537.33
2013-10-18,113.43,120.04,113.54,119.96,5399.78
2013-10-19,119.96,140.7,119.96,130.51,10864.48
2013-10-20,130.51,133.99,129.11,132.99,1427.7
2013-10-21,132.99,141.79,132.57,138.84,4165.1
2013-10-22,138.84,148.65,137.88,145.94,5065.92
2013-10-23,145.94,164.73,144.52,164.55,6789.08
2013-10-24,164.55,167.76,124.86,146.97,16998.76
2013-10-25,146.97,149.3,129.96,142.87,5819.32
2013-10-26,142.87,144.6,135.49,139.85,1385.66
2013-10-27,139.85,149.97,138.06,147.24,1931.7
2013-10-28,147.24,153.76,144.57,148.53,2190.53
2013-10-29,148.53,154.95,148.37,154.93,1678.75
2013-10-30,154.93,156.91,149.45,151.38,2815.31
2013-10-31,151.38,152.98,147.55,152.83,1568.54
2013-11-01,152.83,154.05,151.34,153.39,1319.91
2013-11-02,153.39,156.4,152.39,155.92,1524.98
2013-11-03,155.92,163.9,153.56,163.9,3133.57
2013-11-04,163.9,174.27,161.21,173.32,4400.15
2013-11-05,173.32,187.91,169.64,181.9,8811.15
2013-11-06,181.9,198.74,182.68,196.51,6497.83
2013-11-07,196.51,234.19,195.4,227.92,13257.74
2013-11-08,227.92,268.99,226.91,259,7661.77
2013-11-09,259,297.9,253.93,274.99,7931.6
2013-11-10,274.99,276.23,216.15,253.69,11216.87
2013-11-11,253.69,274.4,240.84,267.13,2537.93
2013-11-12,267.13,287.59,264.29,277.45,3765.22
2013-11-13,277.45,329.15,277.39,318.05,7095.36
2013-11-14,318.05,329.24,298.72,318.31,5127.53
2013-11-15,318.31,343.42,309.15,326.11,3948.49
2013-11-16,326.11,345.03,318.57,341.77,2064.56
2013-11-17,341.77,394.26,341.67,388.61,3931.87
2013-11-18,388.61,590.93,383.6,582.53,10165.96
2013-11-19,582.53,653.22,370.58,479.95,18669.08
2013-11-20,479.95,481.02,334.1,467.63,15521.55
2013-11-21,467.63,566.85,444.64,551.3,6531.12
2013-11-22,551.3,594.63,511.5,585.03,3249.42
2013-11-23,585.03,656.17,581.51,625.23,3935.71
2013-11-24,625.23,631.55,556.06,598.45,2509.9
2013-11-25,598.45,620.59,576.09,603.79,2740.92
2013-11-26,603.79,711.27,598.87,706.51,4993.71
2013-11-27,706.51,785.19,677.2,779.33,5457
2013-11-28,779.33,874.75,756.91,826.37,5373.14
2013-11-29,826.37,891.1,787.73,875.99,4755.09
2013-11-30,875.99,887.45,860.6,865.31,1784.74
2013-12-01,865.31,872.65,605.68,738.58,11569.15
2013-12-02,738.58,832.07,717.88,790.45,4336.57
2013-12-03,790.45,851.21,767.97,829.34,2684.41
2013-12-04,829.34,887.25,819.93,876.6,2392.02
2013-12-05,876.6,890.36,652.79,796.93,9329.07
2013-12-06,796.93,811.09,602.15,612.81,6880.89
2013-12-07,612.81,672.82,416.79,509.97,12787.62
2013-12-08,509.97,619.19,487.71,591.71,3430.8
2013-12-09,591.71,698.28,580.88,675.61,3162.14
2013-12-10,675.61,755.58,663.44,739.89,3360.44
2013-12-11,739.89,745.55,631.35,665.32,3400.28
2013-12-12,665.32,670.89,611.87,642.3,1480.07
2013-12-13,642.3,701.3,626.12,666.57,2387.49
2013-12-14,666.57,667.2,633.91,652.14,600.99
2013-12-15,652.14,658.59,609.1,658.39,1177.89
2013-12-16,658.39,660.18,505.16,547.22,6049.52
2013-12-17,547.22,561.44,495.33,515.89,4189.7
2013-12-18,515.89,518.45,309.07,396.42,16468.26
2013-12-19,396.42,536.27,376.9,528.25,5405.89
2013-12-20,528.25,548.14,459.8,481.97,3859.92
2013-12-21,481.97,505.16,445.8,465.7,1733.2
2013-12-22,465.7,502.76,448.75,464.46,1557.31
2013-12-23,464.46,512.13,460.07,511.34,1427.64
